ISS-ID,nlon,nlat,CoordFLAG
ISS016-E-23450,-100.1,24.1, 5.0
ISS020-E-53086,40.0,51.3, 5.0
ISS021-E-17021,-2.8,41.1, 5.0
ISS021-E-21400,-5.3,45.3, 5.0
ISS023-E-29555,-7.6,39.2, 5.0
ISS023-E-29566,13.4,48.3, 5.0
ISS023-E-31107,125.7,35.1, 5.0
ISS025-E-10396,7.4,36.5, 5.0
ISS025-E-13702,-8.5,34.1, 5.0
ISS025-E-17650,-45.2,-26.1, 5.0
ISS026-E-10085,35.8,33.2, 5.0
ISS026-E-10948,4.1,47.3, 5.0
ISS026-E-13695,7.4,51.6, 5.0
ISS026-E-14591,32.7,40.6, 5.0
ISS026-E-14592,33.9,39.9, 5.0
ISS026-E-14613,40.9,35.2, 5.0
ISS026-E-15248,-14.2,31.1, 5.0
ISS026-E-16814,9.7,37.4, 5.0
ISS026-E-18092,-44.6,-25.7, 5.0
ISS026-E-24732,11.2,40.2, 5.0
ISS026-E-25945,3.4,37.6, 5.0
ISS026-E-25949,6.3,39.5, 5.0
ISS026-E-26046,42.8,51.3, 5.0
ISS026-E-26448,25.1,43.6, 5.0
ISS026-E-26459,29.5,45.5, 5.0
ISS026-E-26493,-1.3,42.1, 5.0
ISS026-E-26497,1.8,43.6, 5.0
ISS026-E-26517,9.8,46.8, 5.0
ISS026-E-26539,53.5,51.1, 5.0
ISS026-E-26553,-85.7,45.2, 5.0
ISS026-E-28912,35.0,30.7, 5.0
ISS026-E-34670,122.1,36.6, 5.0
ISS026-E-35717,-96.6,30.3, 5.0
ISS026-E-35726,-89.0,22.6, 5.0
ISS026-E-35803,27.2,-24.9, 5.0
ISS027-E-13744,-75.5,37.0, 5.0
ISS027-E-13755,-72.3,34.5, 5.0
ISS027-E-13770,-67.8,30.8, 5.0
ISS027-E-18904,18.7,-35.0, 5.0
ISS027-E-20118,-78.8,27.7, 5.0
ISS027-E-20997,37.5,25.7, 5.0
ISS028-E-6131,91.0,23.1, 5.0
ISS029-E-41846,17.3,48.0, 5.0
ISS030-E-109098,-78.2,8.2, 5.0
ISS030-E-163164,-15.1,42.2, 5.0
ISS030-E-172413,20.1,-33.2, 5.0
ISS030-E-177064,13.6,51.8, 5.0
ISS030-E-177065,13.7,51.8, 5.0
ISS030-E-183793,-112.1,30.5, 5.0
ISS030-E-183808,-110.0,32.3, 5.0
ISS030-E-183832,-105.6,35.9, 5.0
ISS030-E-188196,-3.8,41.0, 5.0
ISS030-E-188224,12.1,47.7, 5.0
ISS030-E-188225,12.2,47.8, 5.0
ISS030-E-195520,-72.5,45.2, 5.0
ISS030-E-200361,11.6,49.1, 5.0
ISS030-E-203168,-12.6,33.3, 5.0
ISS030-E-203945,-2.6,40.4, 5.0
ISS030-E-203958,5.5,44.5, 5.0
ISS030-E-205205,12.1,51.8, 5.0
ISS030-E-208788,22.6,40.8, 5.0
ISS030-E-208848,5.1,50.7, 5.0
ISS030-E-208852,17.3,51.7, 5.0
ISS030-E-208860,19.0,51.8, 5.0
ISS030-E-208862,24.3,51.7, 5.0
ISS030-E-208933,9.5,51.1, 5.0
ISS030-E-208941,17.2,49.9, 5.0
ISS030-E-209052,4.6,39.4, 5.0
ISS030-E-209158,14.3,40.5, 5.0
ISS030-E-209264,-6.4,42.0, 5.0
ISS030-E-209320,13.2,51.8, 5.0
ISS030-E-209443,-5.3,38.0, 5.0
ISS030-E-211325,29.9,51.6, 5.0
ISS030-E-211555,50.0,29.4, 5.0
ISS030-E-212967,27.7,27.1, 5.0
ISS030-E-217488,21.2,51.8, 5.0
ISS030-E-217646,51.5,34.9, 5.0
ISS030-E-217663,57.8,29.5, 5.0
ISS030-E-217789,21.2,43.8, 5.0
ISS030-E-217806,30.6,38.6, 5.0
ISS030-E-217821,36.6,34.3, 5.0
ISS030-E-222896,-79.6,44.7, 5.0
ISS030-E-222906,-121.0,33.9, 5.0
ISS030-E-223031,-65.2,8.9, 5.0
ISS030-E-223733,13.4,47.1, 5.0
ISS030-E-224413,45.6,33.5, 5.0
ISS030-E-224743,0.7,49.9, 5.0
ISS030-E-224829,48.8,49.9, 5.0
ISS030-E-233654,-84.0,36.8, 5.0
ISS030-E-234001,39.6,46.0, 5.0
ISS030-E-234018,69.8,25.7, 5.0
ISS030-E-234073,36.9,34.4, 5.0
ISS030-E-236447,19.2,47.6, 5.0
ISS030-E-237233,81.3,12.0, 5.0
ISS030-E-237545,0.9,50.2, 5.0
ISS030-E-238065,52.6,34.2, 5.0
ISS030-E-239061,56.7,23.5, 5.0
ISS030-E-241851,29.5,39.3, 5.0
ISS030-E-242859,1.6,41.9, 5.0
ISS030-E-244816,0.8,38.3, 5.0
ISS030-E-250004,2.6,51.1, 5.0
ISS030-E-250154,56.0,23.9, 5.0
ISS030-E-250155,56.1,23.8, 5.0
ISS030-E-255477,29.4,39.4, 5.0
ISS030-E-255606,38.4,32.9, 5.0
ISS030-E-256259,25.5,30.6, 5.0
ISS030-E-258875,14.1,45.1, 5.0
ISS030-E-258953,20.5,47.4, 5.0
ISS030-E-258963,10.6,48.9, 5.0
ISS030-E-262261,2.0,42.8, 5.0
ISS030-E-271074,-103.8,19.7, 5.0
ISS030-E-274367,12.4,47.6, 5.0
ISS030-E-274370,15.5,46.6, 5.0
ISS030-E-274371,15.7,46.5, 5.0
ISS030-E-274380,31.2,39.1, 5.0
ISS030-E-274851,22.1,41.7, 5.0
ISS030-E-274866,-3.9,40.2, 5.0
ISS030-E-274877,-2.4,41.1, 5.0
ISS030-E-274961,-8.9,36.2, 5.0
ISS030-E-276892,-87.5,19.4, 5.0
ISS030-E-276970,-48.6,-30.0, 5.0
ISS030-E-279263,-20.2,34.7, 5.0
ISS030-E-280693,38.4,51.1, 5.0
ISS030-E-283149,-99.0,14.4, 5.0
ISS030-E-283151,-98.6,13.9, 5.0
ISS030-E-283164,11.5,43.9, 5.0
ISS030-E-283501,49.6,51.8, 5.0
ISS030-E-286669,-3.6,40.0, 5.0
ISS030-E-286671,-3.3,40.2, 5.0
ISS030-E-286680,-2.3,40.8, 5.0
ISS030-E-286709,7.4,45.5, 5.0
ISS030-E-291402,-74.3,46.8, 5.0
ISS030-E-291406,-71.8,45.9, 5.0
ISS030-E-291431,32.3,32.0, 5.0
ISS030-E-291504,31.6,48.2, 5.0
ISS030-E-61693,-110.9,31.4, 5.0
ISS030-E-63294,-110.4,37.9, 5.0
ISS030-E-85860,80.4,29.3, 5.0
ISS031-E-111105,12.1,36.0, 5.0
ISS031-E-132700,15.5,-33.1, 5.0
ISS031-E-36964,71.8,7.8, 5.0
ISS031-E-69983,50.1,31.1, 5.0
ISS031-E-83781,-108.0,33.1, 5.0
ISS031-E-95629,-3.0,41.4, 5.0
ISS032-E-11330,-39.2,-21.7, 5.0
ISS032-E-12121,10.7,43.7, 5.0
ISS032-E-12453,17.3,51.4, 5.0
ISS032-E-12765,17.6,51.4, 5.0
ISS032-E-15029,-9.4,41.8, 5.0
ISS032-E-17158,2.4,51.3, 5.0
ISS033-E-10475,-79.6,33.6, 5.0
ISS033-E-10628,-79.6,36.9, 5.0
ISS033-E-12473,41.2,44.8, 5.0
ISS033-E-13705,19.5,44.6, 5.0
ISS033-E-14186,-73.9,40.2, 5.0
ISS033-E-14336,144.0,37.6, 5.0
ISS033-E-14393,20.2,-35.4, 5.0
ISS033-E-21462,139.5,33.9, 5.0
ISS033-E-22734,137.4,35.7, 5.0
ISS033-E-22746,145.6,41.0, 5.0
ISS033-E-6676,56.7,31.4, 5.0
ISS033-E-7606,42.6,33.4, 5.0
ISS034-E-31367,-87.3,40.7, 5.0
ISS034-E-35268,89.9,43.7, 5.0
ISS034-E-35358,42.6,51.5, 5.0
ISS034-E-35432,131.4,37.4, 5.0
ISS034-E-35548,-116.8,40.2, 5.0
ISS034-E-37203,81.1,14.8, 5.0
ISS034-E-38811,123.3,31.9, 5.0
ISS034-E-38817,124.2,32.7, 5.0
ISS034-E-39005,1.2,33.8, 5.0
ISS034-E-39362,18.5,42.6, 5.0
ISS034-E-39369,21.4,44.0, 5.0
ISS034-E-40460,-115.1,50.9, 5.0
ISS034-E-40736,134.0,35.2, 5.0
ISS034-E-41598,2.1,37.3, 5.0
ISS034-E-44519,56.9,24.3, 5.0
ISS034-E-44544,15.2,39.5, 5.0
ISS034-E-44584,-77.4,38.4, 5.0
ISS034-E-44595,-81.6,21.0, 5.0
ISS034-E-44849,134.4,43.9, 5.0
ISS034-E-45495,-80.2,30.3, 5.0
ISS034-E-47335,56.2,31.5, 5.0
ISS034-E-48172,54.7,29.5, 5.0
ISS034-E-48188,58.8,25.5, 5.0
ISS034-E-50141,-2.7,50.0, 5.0
ISS034-E-51082,32.1,31.4, 5.0
ISS034-E-51139,39.3,24.4, 5.0
ISS034-E-6075,2.5,51.8, 5.0
ISS034-E-6291,141.5,34.4, 5.0
ISS034-E-7443,-85.2,41.5, 5.0
ISS035-E-15465,-80.9,37.7, 5.0
ISS035-E-17145,-6.9,49.0, 5.0
ISS035-E-17182,5.6,51.2, 5.0
ISS035-E-17217,15.9,51.8, 5.0
ISS035-E-17228,19.8,51.8, 5.0
ISS035-E-20937,9.7,49.0, 5.0
ISS035-E-20985,18.4,46.4, 5.0
ISS035-E-21592,69.4,18.4, 5.0
ISS035-E-22047,53.4,21.7, 5.0
ISS035-E-23381,-0.8,41.1, 5.0
ISS035-E-23425,11.9,32.2, 5.0
ISS035-E-7916,-104.2,19.5, 5.0
ISS036-E-30908,-82.1,20.2, 5.0
ISS036-E-32769,145.8,-37.9, 5.0
ISS036-E-9405,-94.1,24.7, 5.0
ISS037-E-10649,-76.9,26.5, 5.0
ISS037-E-20639,115.2,-32.8, 5.0
ISS038-E-10484,6.8,41.1, 5.0
ISS038-E-10485,8.5,42.0, 5.0
ISS038-E-11638,-2.9,37.2, 5.0
ISS038-E-19764,-0.2,25.2, 5.0
ISS038-E-2905,124.0,24.2, 5.0
ISS038-E-4422,-107.5,33.3, 5.0
ISS038-E-44464,36.0,23.1, 5.0
ISS038-E-56282,57.0,18.3, 5.0
ISS038-E-9595,-116.7,33.0, 5.0
ISS038-E-9806,12.5,46.0, 5.0
ISS038-E-9812,19.0,48.1, 5.0
